"","track.name","instrumentalness","danceability","acousticness","energy","tempo","speechiness","valence","Playlist"
"1","Shivers",0,0.788,0.281,0.859,141.02,0.0856,0.822,"Happy"
"2","Summer of Love (Shawn Mendes & Tainy)",0.000127,0.776,0.0297,0.808,123.988,0.117,0.494,"Happy"
"3","Heartbreak Anthem (with David Guetta & Little Mix)",0,0.595,0.216,0.784,124.111,0.102,0.479,"Happy"
"4","Run",0,0.682,0.326,0.72,117.003,0.0381,0.673,"Happy"
"5","Fly Away",0,0.806,0.217,0.513,124.988,0.0685,0.503,"Happy"
"6","The Best Days (feat. Tabitha)",0,0.667,0.0863,0.827,107.95,0.0368,0.573,"Happy"
"7","Love You Better",0.0013,0.733,0.0931,0.786,102.999,0.0422,0.786,"Happy"
"8","You for Me",1.81e-06,0.733,0.0481,0.886,126.031,0.0426,0.696,"Happy"
"9","At Least I Had Fun",0,0.794,0.198,0.706,116.032,0.0382,0.908,"Happy"
"10","Anyone",3.13e-06,0.686,0.181,0.538,115.884,0.0345,0.584,"Happy"
"11","Good Vibes",0,0.558,0.274,0.877,99.988,0.145,0.762,"Happy"
"12","Pick Me Up",1.34e-06,0.688,0.0971,0.662,115.106,0.0441,0.549,"Happy"
"13","Love Me Now (feat. Zoe Wees)",0,0.662,0.163,0.489,102.04,0.0525,0.506,"Happy"
"14","Cloudy Day",2.81e-06,0.705,0.0643,0.776,116.011,0.0445,0.366,"Happy"
"15","Lifestyle (feat. Adam Levine)",0,0.749,0.0209,0.674,123.055,0.0366,0.711,"Happy"
"16","Slow Dance (feat. Ava Max) - Sam Feldt Remix",2.02e-06,0.732,0.114,0.85,124.024,0.0444,0.372,"Happy"
"17","Lasting Lover",0,0.676,0.197,0.786,125.983,0.0478,0.483,"Happy"
"18","Dive",0,0.654,0.00515,0.787,123.978,0.0502,0.409,"Happy"
"19","Remember",0,0.612,0.041,0.862,123.849,0.037,0.354,"Happy"
"20","Friends",1.26e-05,0.747,0.198,0.537,97.056,0.0413,0.453,"Happy"
"21","Sunshine",0,0.697,0.137,0.875,140.069,0.034,0.774,"Happy"
"22","Never Love You Again (with Little Big Town & Bryn Christopher)",3.57e-06,0.645,0.0343,0.786,124.962,0.0554,0.597,"Happy"
"23","Cover Me In Sunshine",0,0.476,0.0599,0.594,159.702,0.135,0.314,"Happy"
"24","Wonder",1.8e-05,0.333,0.131,0.637,139.898,0.0581,0.132,"Happy"
"25","Get To Know You",0,0.761,0.0783,0.695,118.004,0.0886,0.69,"Happy"
"26","Remember This",0,0.669,0.217,0.629,110.865,0.0803,0.294,"Happy"
"27","If You Really Love Me (How Will I Know)",0,0.692,0.0512,0.883,122.984,0.0582,0.614,"Happy"
"28","Runaway (with Sigala and JP Cooper)",0,0.617,0.213,0.756,121.828,0.104,0.432,"Happy"
"29","Watermelon Sugar",0,0.548,0.122,0.816,95.39,0.0465,0.557,"Happy"
"30","I Found You",0,0.646,0.0714,0.761,129.916,0.0385,0.472,"Happy"
"31","My Head & My Heart",0,0.614,0.0697,0.934,116.001,0.07,0.436,"Happy"
"32","Dumb",2.57e-05,0.728,0.194,0.636,124.023,0.0366,0.433,"Happy"
"33","My Universe",0,0.588,0.00813,0.701,104.988,0.0402,0.443,"Happy"
"34","Smile",0.00122,0.592,0.000618,0.749,127.038,0.0295,0.799,"Happy"
"35","Take You Dancing",0,0.789,0.0332,0.711,112.985,0.041,0.753,"Happy"
"36","Call On Me (feat. Georgia Ku)",0,0.662,0.171,0.794,104.951,0.0533,0.641,"Happy"
"37","Tangerine Skies",2e-05,0.756,0.0578,0.815,120.002,0.046,0.927,"Happy"
"38","I Don't Know Why",7.2e-06,0.499,0.124,0.898,120.04,0.124,0.618,"Happy"
"39","How Will I Know",3.35e-06,0.761,0.178,0.739,118.997,0.0369,0.656,"Happy"
"40","Little Bit Of Love",0,0.659,0.0636,0.801,105.991,0.0435,0.334,"Happy"
"41","Dancing in the Moonlight (feat. NEIMY)",0,0.659,0.27,0.617,119.858,0.0649,0.187,"Happy"
